	Actual Load
2022-08-01 00:00:00+02:00	5060.0
2022-08-01 00:15:00+02:00	4992.0
2022-08-01 00:30:00+02:00	4860.0
2022-08-01 00:45:00+02:00	4766.0
2022-08-01 01:00:00+02:00	4784.0
2022-08-01 01:15:00+02:00	4718.0
2022-08-01 01:30:00+02:00	4669.0
2022-08-01 01:45:00+02:00	4623.0
2022-08-01 02:00:00+02:00	4689.0
2022-08-01 02:15:00+02:00	4646.0
2022-08-01 02:30:00+02:00	4631.0
2022-08-01 02:45:00+02:00	4581.0
2022-08-01 03:00:00+02:00	4572.0
2022-08-01 03:15:00+02:00	4555.0
2022-08-01 03:30:00+02:00	4552.0
2022-08-01 03:45:00+02:00	4560.0
2022-08-01 04:00:00+02:00	4634.0
2022-08-01 04:15:00+02:00	4658.0
2022-08-01 04:30:00+02:00	4754.0
2022-08-01 04:45:00+02:00	4823.0
2022-08-01 05:00:00+02:00	5030.0
2022-08-01 05:15:00+02:00	5165.0
2022-08-01 05:30:00+02:00	5305.0
2022-08-01 05:45:00+02:00	5479.0
2022-08-01 06:00:00+02:00	5807.0
2022-08-01 06:15:00+02:00	5990.0
2022-08-01 06:30:00+02:00	6157.0
2022-08-01 06:45:00+02:00	6318.0
2022-08-01 07:00:00+02:00	6545.0
2022-08-01 07:15:00+02:00	6668.0
2022-08-01 07:30:00+02:00	6806.0
2022-08-01 07:45:00+02:00	6926.0
2022-08-01 08:00:00+02:00	7074.0
2022-08-01 08:15:00+02:00	7150.0
2022-08-01 08:30:00+02:00	7212.0
2022-08-01 08:45:00+02:00	7246.0
2022-08-01 09:00:00+02:00	7284.0
2022-08-01 09:15:00+02:00	7354.0
2022-08-01 09:30:00+02:00	7368.0
2022-08-01 09:45:00+02:00	7380.0
2022-08-01 10:00:00+02:00	7389.0
2022-08-01 10:15:00+02:00	7383.0
2022-08-01 10:30:00+02:00	7428.0
2022-08-01 10:45:00+02:00	7416.0
2022-08-01 11:00:00+02:00	7415.0
2022-08-01 11:15:00+02:00	7446.0
2022-08-01 11:30:00+02:00	7484.0
2022-08-01 11:45:00+02:00	7440.0
2022-08-01 12:00:00+02:00	7424.0
2022-08-01 12:15:00+02:00	7311.0
2022-08-01 12:30:00+02:00	7289.0
2022-08-01 12:45:00+02:00	7283.0
2022-08-01 13:00:00+02:00	7376.0
2022-08-01 13:15:00+02:00	7378.0
2022-08-01 13:30:00+02:00	7336.0
2022-08-01 13:45:00+02:00	7316.0
2022-08-01 14:00:00+02:00	7335.0
2022-08-01 14:15:00+02:00	7325.0
2022-08-01 14:30:00+02:00	7337.0
2022-08-01 14:45:00+02:00	7298.0
2022-08-01 15:00:00+02:00	7315.0
2022-08-01 15:15:00+02:00	7252.0
2022-08-01 15:30:00+02:00	7188.0
2022-08-01 15:45:00+02:00	7164.0
2022-08-01 16:00:00+02:00	7156.0
2022-08-01 16:15:00+02:00	7126.0
2022-08-01 16:30:00+02:00	7092.0
2022-08-01 16:45:00+02:00	7066.0
2022-08-01 17:00:00+02:00	7082.0
2022-08-01 17:15:00+02:00	7086.0
2022-08-01 17:30:00+02:00	7089.0
2022-08-01 17:45:00+02:00	7092.0
2022-08-01 18:00:00+02:00	7066.0
2022-08-01 18:15:00+02:00	7014.0
2022-08-01 18:30:00+02:00	7024.0
2022-08-01 18:45:00+02:00	7025.0
2022-08-01 19:00:00+02:00	6954.0
2022-08-01 19:15:00+02:00	6925.0
2022-08-01 19:30:00+02:00	6854.0
2022-08-01 19:45:00+02:00	6803.0
2022-08-01 20:00:00+02:00	6801.0
2022-08-01 20:15:00+02:00	6746.0
2022-08-01 20:30:00+02:00	6701.0
2022-08-01 20:45:00+02:00	6690.0
2022-08-01 21:00:00+02:00	6620.0
2022-08-01 21:15:00+02:00	6506.0
2022-08-01 21:30:00+02:00	6388.0
2022-08-01 21:45:00+02:00	6262.0
2022-08-01 22:00:00+02:00	6333.0
2022-08-01 22:15:00+02:00	6196.0
2022-08-01 22:30:00+02:00	6042.0
2022-08-01 22:45:00+02:00	5892.0
2022-08-01 23:00:00+02:00	5766.0
2022-08-01 23:15:00+02:00	5642.0
2022-08-01 23:30:00+02:00	5516.0
2022-08-01 23:45:00+02:00	5414.0
2022-08-02 00:00:00+02:00	5456.0
2022-08-02 00:15:00+02:00	5368.0
2022-08-02 00:30:00+02:00	5232.0
2022-08-02 00:45:00+02:00	5157.0
2022-08-02 01:00:00+02:00	5146.0
2022-08-02 01:15:00+02:00	5082.0
2022-08-02 01:30:00+02:00	5041.0
2022-08-02 01:45:00+02:00	4993.0
2022-08-02 02:00:00+02:00	5038.0
2022-08-02 02:15:00+02:00	5011.0
2022-08-02 02:30:00+02:00	4968.0
2022-08-02 02:45:00+02:00	4931.0
2022-08-02 03:00:00+02:00	4927.0
2022-08-02 03:15:00+02:00	4898.0
2022-08-02 03:30:00+02:00	4868.0
2022-08-02 03:45:00+02:00	4854.0
2022-08-02 04:00:00+02:00	4919.0
2022-08-02 04:15:00+02:00	4958.0
2022-08-02 04:30:00+02:00	4986.0
2022-08-02 04:45:00+02:00	5055.0
2022-08-02 05:00:00+02:00	5256.0
2022-08-02 05:15:00+02:00	5387.0
2022-08-02 05:30:00+02:00	5510.0
2022-08-02 05:45:00+02:00	5665.0
2022-08-02 06:00:00+02:00	5965.0
2022-08-02 06:15:00+02:00	6175.0
2022-08-02 06:30:00+02:00	6302.0
2022-08-02 06:45:00+02:00	6418.0
2022-08-02 07:00:00+02:00	6703.0
2022-08-02 07:15:00+02:00	6838.0
2022-08-02 07:30:00+02:00	6923.0
2022-08-02 07:45:00+02:00	7046.0
2022-08-02 08:00:00+02:00	7148.0
2022-08-02 08:15:00+02:00	7229.0
2022-08-02 08:30:00+02:00	7327.0
2022-08-02 08:45:00+02:00	7368.0
2022-08-02 09:00:00+02:00	7363.0
2022-08-02 09:15:00+02:00	7394.0
2022-08-02 09:30:00+02:00	7387.0
2022-08-02 09:45:00+02:00	7404.0
2022-08-02 10:00:00+02:00	7396.0
2022-08-02 10:15:00+02:00	7408.0
2022-08-02 10:30:00+02:00	7433.0
2022-08-02 10:45:00+02:00	7477.0
2022-08-02 11:00:00+02:00	7508.0
2022-08-02 11:15:00+02:00	7546.0
2022-08-02 11:30:00+02:00	7578.0
2022-08-02 11:45:00+02:00	7548.0
2022-08-02 12:00:00+02:00	7458.0
2022-08-02 12:15:00+02:00	7327.0
2022-08-02 12:30:00+02:00	7277.0
2022-08-02 12:45:00+02:00	7258.0
2022-08-02 13:00:00+02:00	7332.0
2022-08-02 13:15:00+02:00	7310.0
2022-08-02 13:30:00+02:00	7272.0
2022-08-02 13:45:00+02:00	7204.0
2022-08-02 14:00:00+02:00	7163.0
2022-08-02 14:15:00+02:00	7133.0
2022-08-02 14:30:00+02:00	7134.0
2022-08-02 14:45:00+02:00	7107.0
2022-08-02 15:00:00+02:00	7087.0
2022-08-02 15:15:00+02:00	7066.0
2022-08-02 15:30:00+02:00	6999.0
2022-08-02 15:45:00+02:00	7006.0
2022-08-02 16:00:00+02:00	6964.0
2022-08-02 16:15:00+02:00	6948.0
2022-08-02 16:30:00+02:00	6933.0
2022-08-02 16:45:00+02:00	6919.0
2022-08-02 17:00:00+02:00	6875.0
2022-08-02 17:15:00+02:00	6901.0
2022-08-02 17:30:00+02:00	6934.0
2022-08-02 17:45:00+02:00	6951.0
2022-08-02 18:00:00+02:00	6935.0
2022-08-02 18:15:00+02:00	6957.0
2022-08-02 18:30:00+02:00	6949.0
2022-08-02 18:45:00+02:00	6952.0
2022-08-02 19:00:00+02:00	6896.0
2022-08-02 19:15:00+02:00	6820.0
2022-08-02 19:30:00+02:00	6800.0
2022-08-02 19:45:00+02:00	6747.0
2022-08-02 20:00:00+02:00	6681.0
2022-08-02 20:15:00+02:00	6635.0
2022-08-02 20:30:00+02:00	6621.0
2022-08-02 20:45:00+02:00	6622.0
2022-08-02 21:00:00+02:00	6522.0
2022-08-02 21:15:00+02:00	6395.0
2022-08-02 21:30:00+02:00	6341.0
2022-08-02 21:45:00+02:00	6239.0
2022-08-02 22:00:00+02:00	6285.0
2022-08-02 22:15:00+02:00	6187.0
2022-08-02 22:30:00+02:00	5993.0
2022-08-02 22:45:00+02:00	5899.0
2022-08-02 23:00:00+02:00	5745.0
2022-08-02 23:15:00+02:00	5600.0
2022-08-02 23:30:00+02:00	5496.0
2022-08-02 23:45:00+02:00	5430.0
2022-08-03 00:00:00+02:00	5442.0
2022-08-03 00:15:00+02:00	5354.0
2022-08-03 00:30:00+02:00	5260.0
2022-08-03 00:45:00+02:00	5116.0
2022-08-03 01:00:00+02:00	5133.0
2022-08-03 01:15:00+02:00	5067.0
2022-08-03 01:30:00+02:00	4994.0
2022-08-03 01:45:00+02:00	4965.0
2022-08-03 02:00:00+02:00	5008.0
2022-08-03 02:15:00+02:00	4979.0
2022-08-03 02:30:00+02:00	4906.0
2022-08-03 02:45:00+02:00	4857.0
2022-08-03 03:00:00+02:00	4869.0
2022-08-03 03:15:00+02:00	4826.0
2022-08-03 03:30:00+02:00	4827.0
2022-08-03 03:45:00+02:00	4823.0
2022-08-03 04:00:00+02:00	4894.0
2022-08-03 04:15:00+02:00	4926.0
2022-08-03 04:30:00+02:00	4980.0
2022-08-03 04:45:00+02:00	5056.0
2022-08-03 05:00:00+02:00	5225.0
